geneID_human	geneID_mouse	humanMouseConnection	diseaseName	DO_ID	OMIM_ID	mouseStrain	mouseMGI_ID	mouseMP_ID	MPnames
6814	FRG2B	Frg2f2	n					MGI:3643939		
6815	FRG2B	Frg2f3	n					MGI:3643940		
6816	FRG2B	Frg2f4	n					MGI:3644083		
6817	FRG2B	Frg2f5	n					MGI:3647962		
6818	FRG2B	Frg2f6	n					MGI:3647970		
6819	FRG2B	Frg2f7	n					MGI:3648177		
6820	FRG2B	Frg2f8	n					MGI:3648470		
6821	FRG2B	Frg2f9	n					MGI:3779574		
6822	FRG2B	Frg2f1	n					MGI:3035485		
6823	FRG2B	Frg2f10	n					MGI:3779576		
6824	FRG2B	Frg2f11	n					MGI:3782845		
6825	FRG2B	Frg2f12	n					MGI:3782846		
6826	FRG2B	Frg2f13	n					MGI:3805017		
6827	FRG2B	Frg2f2	n					MGI:3643939		
6828	FRG2B	Frg2f3	n					MGI:3643940		
6829	FRG2B	Frg2f4	n					MGI:3644083		
6830	FRG2B	Frg2f5	n					MGI:3647962		
6831	FRG2B	Frg2f6	n					MGI:3647970		
6832	FRG2B	Frg2f7	n					MGI:3648177		
6833	FRG2B	Frg2f8	n					MGI:3648470		
6834	FRG2B	Frg2f9	n					MGI:3779574		
6835	FRG2B	Frg2f1	n					MGI:3035485		
6836	FRG2B	Frg2f10	n					MGI:3779576		
6837	FRG2B	Frg2f11	n					MGI:3782845		
6838	FRG2B	Frg2f12	n					MGI:3782846		
6839	FRG2B	Frg2f13	n					MGI:3805017		
6840	FRG2B	Frg2f2	n					MGI:3643939		
6841	FRG2B	Frg2f3	n					MGI:3643940		
6842	FRG2B	Frg2f4	n					MGI:3644083		
6843	FRG2B	Frg2f5	n					MGI:3647962		
6844	FRG2B	Frg2f6	n					MGI:3647970		
6845	FRG2B	Frg2f7	n					MGI:3648177		
6846	FRG2B	Frg2f8	n					MGI:3648470		
6847	FRG2B	Frg2f9	n					MGI:3779574		
6848	FRG2B	Frg2f1	n					MGI:3035485		
6849	FRG2B	Frg2f10	n					MGI:3779576		
6850	FRG2B	Frg2f11	n					MGI:3782845		
6851	FRG2B	Frg2f12	n					MGI:3782846		
6852	FRG2B	Frg2f13	n					MGI:3805017		
6853	FRG2B	Frg2f2	n					MGI:3643939		
6854	FRG2B	Frg2f3	n					MGI:3643940		
6855	FRG2B	Frg2f4	n					MGI:3644083		
6856	FRG2B	Frg2f5	n					MGI:3647962		
6857	FRG2B	Frg2f6	n					MGI:3647970		
6858	FRG2B	Frg2f7	n					MGI:3648177		
6859	FRG2B	Frg2f8	n					MGI:3648470		
6860	FRG2B	Frg2f9	n					MGI:3779574		
6861	FRK	Frk	n				Frk<tm1Liu>	MGI:103265	MP:0005376	homeostasis/metabolism phenotype
6862	FRMD3	Frmd3	n					MGI:2442466		
6863	FRMD4A	Frmd4a	n				Frmd4a<em1(IMPC)J>	MGI:1919850		
6864	FRMD4B	Frmd4b	n				Frmd4b<tm1a(EUCOMM)Wtsi>,Frmd4b<tm1b(EUCOMM)Wtsi>	MGI:2141794	MP:0005386 MP:0010771	behavior/neurological phenotype,integument phenotype
6865	FRMD5	Frmd5	n				Frmd5<Gt(OST234501)Lex>,Frmd5<tm1a(EUCOMM)Hmgu>,Frmd5<tm1b(EUCOMM)Hmgu>	MGI:2442557	MP:0005390 MP:0005391 MP:0003631 MP:0005389 MP:0005386	nervous system phenotype,behavior/neurological phenotype,reproductive system phenotype,skeleton phenotype,vision/eye phenotype
6866	FRMD6	Frmd6	n				Frmd6<em1(IMPC)H>,Frmd6<em3(IMPC)H>	MGI:2442579		
6867	FRMD7	Frmd7	n				Frmd7<tm1a(KOMP)Wtsi>	MGI:2686379	MP:0005390	skeleton phenotype
6868	FRMD8	Frmd8	n					MGI:1914707		
6869	FRMPD1	Frmpd1	n				Frmpd1<em1(IMPC)J>	MGI:2446274		
6870	FRMPD2	Frmpd2	n				Frmpd2<em1(IMPC)Rbrc>	MGI:2685472		
6871	FRMPD3	Frmpd3	n					MGI:3646547		
6872	FRMPD4	Frmpd4	n				Frmpd4<tm1.1Pfw>	MGI:3042378	MP:0010771 MP:0003631 MP:0005386	nervous system phenotype,behavior/neurological phenotype,integument phenotype
6873	FRRS1	Frrs1	n				Frrs1<Gt(OST165500)Lex>,Frrs1<tm1a(EUCOMM)Wtsi>	MGI:108076	MP:0005376 MP:0010768 MP:0005390	homeostasis/metabolism phenotype,skeleton phenotype,mortality/aging
6874	FRRS1L	Frrs1l	n				Frrs1l<tm1a(EUCOMM)Hmgu>,Frrs1l<tm1b(EUCOMM)Hmgu>	MGI:2442704	MP:0005376 MP:0005386 MP:0010768	homeostasis/metabolism phenotype,behavior/neurological phenotype,mortality/aging
6875	FRS2	Frs2	n				Frs2<tm1.1Fwan>,Frs2<tm1a(EUCOMM)Wtsi>,Frs2<tm1b(EUCOMM)Wtsi>,Frs2<tm1Fwan>,Frs2<tm1Schl>,Frs2<tm2Schl>,Frs2<tm3Scl>	MGI:1100860	MP:0005380 MP:0005385 MP:0010768 MP:0005371 MP:0005377 MP:0003631 MP:0005391 MP:0005390 MP:0005367 MP:0005378 MP:0005382	nervous system phenotype,renal/urinary system phenotype,limbs/digits/tail phenotype,hearing/vestibular/ear phenotype,growth/size/body region phenotype,embryo phenotype,craniofacial phenotype,cardiovascular system phenotype,skeleton phenotype,vision/eye phenotype,mortality/aging
6876	FRS3	Frs3	n				Frs3<Gt(IST10046F8)Tigm>,Frs3<tm1Jheb>	MGI:2135965	MP:0005384 MP:0005382 MP:0003631 MP:0005391	nervous system phenotype,craniofacial phenotype,cellular phenotype,vision/eye phenotype
6877	FRY	Fry	n					MGI:2443895		
6878	FRYL	Fryl	n				Fryl<Gt(Ayu21-T312)Imeg>,Fryl<tm1a(KOMP)Wtsi>,Fryl<tm1b(KOMP)Wtsi>	MGI:1919563	MP:0005378 MP:0010771 MP:0005384 MP:0010768 MP:0001186 MP:0005387 MP:0005367	pigmentation phenotype,renal/urinary system phenotype,growth/size/body region phenotype,cellular phenotype,immune system phenotype,mortality/aging,integument phenotype
6879	FRZB	Frzb	n				Frzb<tm1.1Fplu>,Frzb<tm1Dgen>,Frzb<tm1(KOMP)Vlcg>,Frzb<tm1Nat>	MGI:892032	MP:0002873 MP:0005397 MP:0005386 MP:0005390 MP:0005371 MP:0003631 MP:0010771 MP:0005376	normal phenotype,nervous system phenotype,limbs/digits/tail phenotype,homeostasis/metabolism phenotype,behavior/neurological phenotype,skeleton phenotype,hematopoietic system phenotype,integument phenotype
6880	FSBP	Fsbp	n					MGI:5301008		
6881	FSCB	Fscb	n					MGI:3646964		
6882	FSCN1	Fscn1	n				Fscn1<Gt(OST124903)Lex>,Fscn1<tm1.1(KOMP)Vlcg>,Fscn1<tm1(KOMP)Vlcg>	MGI:1352745	MP:0005384 MP:0005378 MP:0005387 MP:0005380 MP:0010768	growth/size/body region phenotype,embryo phenotype,cellular phenotype,immune system phenotype,mortality/aging
6883	FSCN2	Fscn2	y	retinitis pigmentosa 30	DOID:0110406	OMIM:607921	Fscn2<ahl8>,Fscn2<tm1.1(KOMP)Vlcg>,Fscn2<tm1(KOMP)Vlcg>,Fscn2<tm1Sykk>,Fscn2<tm2Sykk>	MGI:2443337	MP:0003631 MP:0005377 MP:0005391	nervous system phenotype,hearing/vestibular/ear phenotype,vision/eye phenotype
6884	FSCN3	Fscn3	n					MGI:1890386		
6885	FSD1	Fsd1	n					MGI:1934858		
6886	FSD1L	Fsd1l	n					MGI:2442443		
6887	FSD2	Fsd2	n				Fsd2<em1(IMPC)Mbp>	MGI:2444310		
6888	FSHB	Fshb	n				Fshb<tm1Zuk>	MGI:95582	MP:0005379 MP:0005384 MP:0005376 MP:0005389	homeostasis/metabolism phenotype,endocrine/exocrine gland phenotype,cellular phenotype,reproductive system phenotype
6889	FSHR	Fshr	n				Fshr<tm1Hht>,Fshr<tm1(KOMP)Vlcg>,Fshr<tm1Mha>,Fshr<tm1Saco>	MGI:95583	MP:0005376 MP:0005384 MP:0005379 MP:0005375 MP:0005378 MP:0010771 MP:0005386 MP:0005390 MP:0005387 MP:0003631 MP:0005371 MP:0002006 MP:0005385 MP:0005397 MP:0005389 MP:0010768	neoplasm,nervous system phenotype,limbs/digits/tail phenotype,adipose tissue phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,cellular phenotype,cardiovascular system phenotype,behavior/neurological phenotype,immune system phenotype,reproductive system phenotype,skeleton phenotype,hematopoietic system phenotype,mortality/aging,integument phenotype
6890	FSIP1	Fsip1	n					MGI:1918563		
6891	FSIP2	Fsip2	n					MGI:2664111		
6892	FST	Fst	n				Fst<tm1Alsc>,Fst<tm1Zuk>,Fst<tm2Zuk>	MGI:95586	MP:0005384 MP:0005376 MP:0005382 MP:0005369 MP:0005379 MP:0005394 MP:0010771 MP:0005378 MP:0005390 MP:0005391 MP:0003631 MP:0005381 MP:0010768 MP:0005389 MP:0005385 MP:0005388	nervous system phenotype,muscle phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,digestive/alimentary phenotype,craniofacial phenotype,cellular phenotype,cardiovascular system phenotype,respiratory system phenotype,reproductive system phenotype,skeleton phenotype,vision/eye phenotype,taste/olfaction phenotype,mortality/aging,integument phenotype
6893	FSTL1	Fstl1	n				Fstl1<Gt(OST379353)Lex>,Fstl1<Gt(P086B03)Wrst>,Fstl1<tm1.1Mvdh>,Fstl1<tm1.1Ning>,Fstl1<tm1.1Nju>,Fstl1<tm1.2Mvdh>,Fstl1<tm1a(EUCOMM)Hmgu>,Fstl1<tm1b(EUCOMM)Hmgu>,Fstl1<tm1Nju>,Fstl1<tm2.1(cre/ERT2)Mvdh>	MGI:102793	MP:0005376 MP:0005369 MP:0010771 MP:0005380 MP:0005390 MP:0005367 MP:0003631 MP:0005371 MP:0010768 MP:0002873 MP:0005385 MP:0005388 MP:0005386	normal phenotype,nervous system phenotype,renal/urinary system phenotype,muscle phenotype,limbs/digits/tail phenotype,homeostasis/metabolism phenotype,embryo phenotype,cardiovascular system phenotype,behavior/neurological phenotype,respiratory system phenotype,skeleton phenotype,mortality/aging,integument phenotype
6894	FSTL3	Fstl3	n				Fstl3<tm1.1(KOMP)Vlcg>,Fstl3<tm1.1Sjl>,Fstl3<tm1.2Sjl>,Fstl3<tm1Alsc>,Fstl3<tm1(KOMP)Vlcg>,Fstl3<tm1Lex>,Fstl3<tm1Sjl>,Fstl3<tm2Alsc>	MGI:1890391	MP:0005376 MP:0005369 MP:0005379 MP:0005375 MP:0005385 MP:0005370	muscle phenotype,liver/biliary system phenotype,adipose tissue phenotype,homeostasis/metabolism phenotype,endocrine/exocrine gland phenotype,cardiovascular system phenotype
6895	FSTL4	Fstl4	n				Fstl4<tm1Mno>	MGI:2443199	MP:0002873	normal phenotype
6896	FSTL5	Fstl5	n					MGI:2442179		
6897	FTCD	Ftcd	n					MGI:1339962		
6898	FTH1	Fth1	n				Fth1<Fer001>,Fth1<tm1.1(KOMP)Vlcg>,Fth1<tm1.1Lck>,Fth1<tm1.1Ruvi>,Fth1<tm1.2Lck>,Fth1<tm1Cbea>,Fth1<tm1Kjt>,Fth1<tm1(KOMP)Vlcg>,Fth1<tm1Lck>,Fth1<tm1Ruvi>	MGI:95588	MP:0005387 MP:0003631 MP:0010768 MP:0005397 MP:0005385 MP:0005370 MP:0005384 MP:0005376	nervous system phenotype,liver/biliary system phenotype,homeostasis/metabolism phenotype,cellular phenotype,cardiovascular system phenotype,immune system phenotype,hematopoietic system phenotype,mortality/aging
6899	FTHL17	Fthl17a	n					MGI:1919246		
6900	FTL	Ftl1	n				Ftl1<em1(IMPC)Rbrc>,Ftl1<tm1.1Ruvi>,Ftl1<tm1Ruvi>	MGI:95589	MP:0005376 MP:0005386 MP:0005370 MP:0005387 MP:0005397 MP:0010768	liver/biliary system phenotype,homeostasis/metabolism phenotype,behavior/neurological phenotype,immune system phenotype,hematopoietic system phenotype,mortality/aging
6901	FTMT	Ftmt	n				Ftmt<tm1Mdf>	MGI:1914884	MP:0002873	normal phenotype
6902	FTO	Fto	n				Fto<em1Fmas>,Fto<Gt(RRZ624)Byg>,Fto<I367F>,Fto<tm1.1Pzg>,Fto<tm1.1Rdc>,Fto<tm1.2Pzg>,Fto<tm1.2Rdc>,Fto<tm1.3Pzg>,Fto<tm1a(EUCOMM)Wtsi>,Fto<tm1b(EUCOMM)Wtsi>,Fto<tm1c(EUCOMM)Wtsi>,Fto<tm1d(EUCOMM)Wtsi>,Fto<tm1(EGFP/cre/ERT2)Wtsi>,Fto<tm1Urt>	MGI:1347093	MP:0010771 MP:0005378 MP:0005375 MP:0005379 MP:0005387 MP:0005376 MP:0005390 MP:0005367 MP:0005386 MP:0005370 MP:0010768	renal/urinary system phenotype,liver/biliary system phenotype,adipose tissue phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,behavior/neurological phenotype,immune system phenotype,skeleton phenotype,mortality/aging,integument phenotype
6903	FTSJ1	Ftsj1	n				Ftsj1<Gt(RRD143)Byg>,Ftsj1<tm1a(EUCOMM)Wtsi>,Ftsj1<tm1b(EUCOMM)Wtsi>	MGI:1859648	MP:0002873 MP:0005391 MP:0005377 MP:0005386	normal phenotype,hearing/vestibular/ear phenotype,behavior/neurological phenotype,vision/eye phenotype
6904	FTSJ3	Ftsj3	n					MGI:1860295		
6905	FTX	Ftx	n				Ftx<tm1.1Oka>	MGI:1926128	MP:0002873	normal phenotype
6906	FUBP1	Fubp1	n				Fubp1<em1(IMPC)Mbp>,Fubp1<Gt(A033A08)Wrst>,Fubp1<Gt(E293C09)Wrst>,Fubp1<tm1.1Dlev>	MGI:1196294	MP:0005385 MP:0005397 MP:0010768 MP:0005380 MP:0005388 MP:0005370 MP:0005387 MP:0003631 MP:0005378 MP:0010771 MP:0005379	nervous system phenotype,liver/biliary system phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,embryo phenotype,cardiovascular system phenotype,immune system phenotype,respiratory system phenotype,hematopoietic system phenotype,mortality/aging,integument phenotype
6907	FUBP3	Fubp3	n				Fubp3<tm1b(KOMP)Wtsi>	MGI:2443699		
6908	FUCA1	Fuca1	n				Fuca1<em1(IMPC)J>,Fuca1<tm1Tlub>	MGI:95593		
6909	FUCA2	Fuca2	n				Fuca2<tm1Lex>	MGI:1914098	MP:0002873	normal phenotype
6910	FUK	Fuk	n					MGI:1916071		
6911	FUNDC1	Fundc1	n				Fundc1<tm1a(KOMP)Wtsi>,Fundc1<tm1c(KOMP)Wtsi>	MGI:1919268	MP:0002873	normal phenotype
6912	FUNDC2	Fundc2	n					MGI:1914641		
6913	FUOM	Fuom	n				Fuom<tm1Ckp>	MGI:1916314	MP:0005390 MP:0005386 MP:0005378	growth/size/body region phenotype,behavior/neurological phenotype,skeleton phenotype
6914	FURIN	Furin	n				Furin<tm1.1Jwmc>,Furin<tm1a(EUCOMM)Wtsi>,Furin<tm1Ajmr>,Furin<tm1b(EUCOMM)Wtsi>,Furin<tm1Jwmc>	MGI:97513	MP:0005378 MP:0010771 MP:0005380 MP:0005397 MP:0005385 MP:0002873 MP:0010768 MP:0005381 MP:0005371 MP:0003631 MP:0005387	normal phenotype,nervous system phenotype,limbs/digits/tail phenotype,growth/size/body region phenotype,embryo phenotype,digestive/alimentary phenotype,cardiovascular system phenotype,immune system phenotype,hematopoietic system phenotype,mortality/aging,integument phenotype
6915	FUS	Fus	n				Fus<em1Rkuhn>,Fus<em2Rkuhn>,Fus<Gt(EUCE00131g08)Hmgu>,Fus<Gt(U3NeoSV1)HO14Ggh>,Fus<tm1.1(KOMP)Vlcg>,Fus<tm1a(EUCOMM)Wtsi>,Fus<tm1c(EUCOMM)Wtsi>,Fus<tm1(DDIT3)Dron>,Fus<tm1d(EUCOMM)Wtsi>,Fus<tm1Emcf>,Fus<tm1(KOMP)Vlcg>	MGI:1353633	MP:0005379 MP:0005378 MP:0005384 MP:0005387 MP:0005376 MP:0005386 MP:0005380 MP:0005389 MP:0010768 MP:0002873 MP:0005397 MP:0005385 MP:0003631	normal phenotype,nervous system phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,embryo phenotype,cellular phenotype,cardiovascular system phenotype,behavior/neurological phenotype,immune system phenotype,reproductive system phenotype,hematopoietic system phenotype,mortality/aging
6916	FUT1	Fut1	n				Fut1<tm1a(KOMP)Wtsi>,Fut1<tm1b(KOMP)Wtsi>,Fut1<tm1Sdo>	MGI:109375	MP:0005389 MP:0005379	endocrine/exocrine gland phenotype,reproductive system phenotype
6917	FUT10	Fut10	n					MGI:2384748		
6918	FUT11	Fut11	n					MGI:1920318		
6919	FUT2	Fut2	n				Fut2<em1(IMPC)Wtsi>,Fut2<tm1Sdo>	MGI:109374	MP:0005387 MP:0005381 MP:0005389	digestive/alimentary phenotype,immune system phenotype,reproductive system phenotype
6920	FUT4	Fut4	n				Fut4<tm1Jbl>	MGI:95594	MP:0005385 MP:0005397 MP:0005387 MP:0005384	cellular phenotype,cardiovascular system phenotype,immune system phenotype,hematopoietic system phenotype
6921	FUT7	Fut7	n				Fut7<tm1Brs>,Fut7<tm1Jbl>	MGI:107692	MP:0005387 MP:0005384 MP:0002006 MP:0005385 MP:0005397 MP:0005381	neoplasm,digestive/alimentary phenotype,cellular phenotype,cardiovascular system phenotype,immune system phenotype,hematopoietic system phenotype
6922	FUT8	Fut8	n				Fut8<em1(IMPC)Wtsi>,Fut8<Gt(OST466009)Lex>,Fut8<tm1Nta>	MGI:1858901	MP:0005378 MP:0005390 MP:0005380 MP:0005388 MP:0005370 MP:0005385 MP:0010768 MP:0002006 MP:0005381 MP:0003631 MP:0005387	neoplasm,nervous system phenotype,liver/biliary system phenotype,growth/size/body region phenotype,embryo phenotype,digestive/alimentary phenotype,cardiovascular system phenotype,immune system phenotype,respiratory system phenotype,skeleton phenotype,mortality/aging
6923	FUT9	Fut9	n				Fut9<tm1Nari>	MGI:1330859	MP:0003631	nervous system phenotype
6924	FUZ	Fuz	n				Fuz<b2b1273Clo>,Fuz<Gt(AN0439)Wtsi>,Fuz<Gt(OSTGST001398)Lex>	MGI:1917550	MP:0005390 MP:0005391 MP:0005377 MP:0003631 MP:0005371 MP:0005381 MP:0001186 MP:0010768 MP:0005385 MP:0005388 MP:0005370 MP:0005380 MP:0005384 MP:0005376 MP:0005382 MP:0005369 MP:0005379 MP:0005378	pigmentation phenotype,nervous system phenotype,muscle phenotype,liver/biliary system phenotype,limbs/digits/tail phenotype,homeostasis/metabolism phenotype,hearing/vestibular/ear phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,embryo phenotype,digestive/alimentary phenotype,craniofacial phenotype,cellular phenotype,cardiovascular system phenotype,respiratory system phenotype,skeleton phenotype,vision/eye phenotype,mortality/aging
6925	FXN	Fxn	y	Friedreich ataxia	DOID:12705	OMIM:229300;OMIM:601992	Fxn<em1(IMPC)J>,Fxn<em2.1Lutzy>,Fxn<em2Lutzy>,Fxn<tm1.1Pand>,Fxn<tm1Mkn>,Fxn<tm1Pand>,Fxn<tm2.1Mkn>,Fxn<tm2Mkn>	MGI:1096879	MP:0005378 MP:0005369 MP:0005376 MP:0005387 MP:0005384 MP:0005386 MP:0005380 MP:0005385 MP:0010768 MP:0003631	nervous system phenotype,muscle phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,embryo phenotype,cellular phenotype,cardiovascular system phenotype,behavior/neurological phenotype,immune system phenotype,mortality/aging
6926	FXR1	Fxr1	n				Fxr1<tm1.1Dln>,Fxr1<tm1.2Dln>,Fxr1<tm1Dln>,Fxr1<tm1Drad>	MGI:104860	MP:0005397 MP:0005385 MP:0010768 MP:0005389 MP:0005386 MP:0005388 MP:0005387 MP:0005369 MP:0005379 MP:0005378	muscle phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,cardiovascular system phenotype,behavior/neurological phenotype,immune system phenotype,respiratory system phenotype,reproductive system phenotype,hematopoietic system phenotype,mortality/aging
6927	FXR2	Fxr2	n				Fxr2<tm1Cgr>,Fxr2<tm2a(EUCOMM)Wtsi>,Fxr2<tm2b(EUCOMM)Wtsi>	MGI:1346074	MP:0010771 MP:0003631 MP:0005386	nervous system phenotype,behavior/neurological phenotype,integument phenotype
6928	FXYD1	Fxyd1	n				Fxyd1<tm1.1Geno>,Fxyd1<tm1Atck>	MGI:1889273	MP:0005385 MP:0005369	muscle phenotype,cardiovascular system phenotype
6929	FXYD2	Fxyd2	n				Fxyd2<tm1Kdr>	MGI:1195260	MP:0002873	normal phenotype
6930	FXYD3	Fxyd3	n					MGI:107497		
6931	FXYD4	Fxyd4	n				Fxyd4<tm1Grt>,Fxyd4<tm1Lex>	MGI:1889005	MP:0005376 MP:0005378 MP:0005386 MP:0005367	renal/urinary system phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,behavior/neurological phenotype
6932	FXYD5	Fxyd5	n				Fxyd5<Gt(OST23361)Lex>	MGI:1201785		
6933	FXYD6	Fxyd6	n				Fxyd6<Gt(OST236306)Lex>	MGI:1890226	MP:0005386	behavior/neurological phenotype
6934	FXYD7	Fxyd7	n				Fxyd7<tm1a(KOMP)Wtsi>,Fxyd7<tm1b(KOMP)Wtsi>	MGI:1889006		
6935	FYB1	Fyb	n				Fyb<tm1a(EUCOMM)Hmgu>,Fyb<tm1b(EUCOMM)Hmgu>,Fyb<tm1Gak>,Fyb<tm1Pngr>	MGI:1346327	MP:0005384 MP:0005376 MP:0005379 MP:0005397 MP:0005387 MP:0005386	homeostasis/metabolism phenotype,endocrine/exocrine gland phenotype,cellular phenotype,behavior/neurological phenotype,immune system phenotype,hematopoietic system phenotype
6936	FYB2	Fyb2	n					MGI:2685466		
6937	FYCO1	Fyco1	n				Fyco1<em1(IMPC)J>	MGI:107277		
6938	FYN	Fyn	n				Fyn<Gt(PT1-ATG)24Wrst>,Fyn<tm1a(EUCOMM)Wtsi>,Fyn<tm1Fam>,Fyn<tm1Rmp>,Fyn<tm1Sor>,Fyn<tm1Yik>	MGI:95602	MP:0010771 MP:0005378 MP:0005379 MP:0005394 MP:0005384 MP:0005376 MP:0005391 MP:0005389 MP:0010768 MP:0005397 MP:0005386 MP:0005387 MP:0005367 MP:0003631	nervous system phenotype,renal/urinary system phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,cellular phenotype,behavior/neurological phenotype,immune system phenotype,reproductive system phenotype,vision/eye phenotype,taste/olfaction phenotype,hematopoietic system phenotype,mortality/aging,integument phenotype
6939	FYTTD1	Fyttd1	n					MGI:1917955		
6940	FZD1	Fzd1	n				Fzd1<tm1.1Boer>,Fzd1<tm1.1Nat>,Fzd1<tm1Dgen>	MGI:1196625	MP:0005379 MP:0005378 MP:0010771 MP:0005376 MP:0005382 MP:0005381 MP:0005377 MP:0003631 MP:0001186 MP:0005385 MP:0002873 MP:0005389 MP:0005380 MP:0005390	pigmentation phenotype,normal phenotype,nervous system phenotype,homeostasis/metabolism phenotype,hearing/vestibular/ear phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,embryo phenotype,digestive/alimentary phenotype,craniofacial phenotype,cardiovascular system phenotype,reproductive system phenotype,skeleton phenotype,integument phenotype
6941	FZD10	Fzd10	n				Fzd10<tm1.1Nat>,Fzd10<tm1Dgen>	MGI:2136761	MP:0002873	normal phenotype
6942	FZD2	Fzd2	n				Fzd2<tm1.1(KOMP)Vlcg>,Fzd2<tm1.1Nat>,Fzd2<tm1Eem>,Fzd2<tm1(KOMP)Vlcg>	MGI:1888513	MP:0005386 MP:0005380 MP:0010768 MP:0005385 MP:0003631 MP:0005377 MP:0005381 MP:0005390 MP:0005376 MP:0005394 MP:0005378 MP:0005382	nervous system phenotype,homeostasis/metabolism phenotype,hearing/vestibular/ear phenotype,growth/size/body region phenotype,embryo phenotype,digestive/alimentary phenotype,craniofacial phenotype,cardiovascular system phenotype,behavior/neurological phenotype,skeleton phenotype,taste/olfaction phenotype,mortality/aging
6943	FZD3	Fzd3	n				Fzd3<tm1a(EUCOMM)Agof>,Fzd3<tm1a(EUCOMM)Hmgu>,Fzd3<tm1b(EUCOMM)Hmgu>,Fzd3<tm1c(EUCOMM)Agof>,Fzd3<tm1d(EUCOMM)Agof>,Fzd3<tm1(FZD3)Lex>,Fzd3<tm1Nat>,Fzd3<tm2.1Nat>	MGI:108476	MP:0005376 MP:0005371 MP:0003631 MP:0005377 MP:0005389 MP:0002873 MP:0010768 MP:0005388 MP:0005386 MP:0005380 MP:0005391	normal phenotype,nervous system phenotype,limbs/digits/tail phenotype,homeostasis/metabolism phenotype,hearing/vestibular/ear phenotype,embryo phenotype,behavior/neurological phenotype,respiratory system phenotype,reproductive system phenotype,vision/eye phenotype,mortality/aging
6944	FZD4	Fzd4	n				Fzd4<tm1.1(KOMP)Vlcg>,Fzd4<tm1.1Lex>,Fzd4<tm1(KOMP)Vlcg>,Fzd4<tm1Lex>,Fzd4<tm1Nat>,Fzd4<tm2.1Nat>	MGI:108520	MP:0005369 MP:0005384 MP:0005376 MP:0005379 MP:0005389 MP:0002873 MP:0010771 MP:0010768 MP:0005385 MP:0005378 MP:0005391 MP:0005377 MP:0003631 MP:0005381 MP:0005367 MP:0005386 MP:0005380 MP:0001186	pigmentation phenotype,normal phenotype,nervous system phenotype,renal/urinary system phenotype,muscle phenotype,homeostasis/metabolism phenotype,hearing/vestibular/ear phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,embryo phenotype,digestive/alimentary phenotype,cellular phenotype,cardiovascular system phenotype,behavior/neurological phenotype,reproductive system phenotype,vision/eye phenotype,mortality/aging,integument phenotype
6945	FZD5	Fzd5	n				Fzd5<tm1.1(KOMP)Vlcg>,Fzd5<tm1Cle>,Fzd5<tm1(KOMP)Vlcg>,Fzd5<tm1Mmt>,Fzd5<tm1Nat>,Fzd5<tm2Nat>	MGI:108571	MP:0005378 MP:0005379 MP:0005381 MP:0005391 MP:0010768 MP:0005385 MP:0005380 MP:0005386 MP:0003631	nervous system phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,embryo phenotype,digestive/alimentary phenotype,cardiovascular system phenotype,behavior/neurological phenotype,vision/eye phenotype,mortality/aging
6946	FZD6	Fzd6	n				Fzd6<tm1Dgen>,Fzd6<tm1Lex>,Fzd6<tm1Nat>,Fzd6<tm2.1Nat>,Fzd6<tm2a(EUCOMM)Wtsi>	MGI:108474	MP:0010771 MP:0005389 MP:0005371 MP:0005377 MP:0003631 MP:0005391 MP:0005380 MP:0002873 MP:0010768	normal phenotype,nervous system phenotype,limbs/digits/tail phenotype,hearing/vestibular/ear phenotype,embryo phenotype,reproductive system phenotype,vision/eye phenotype,mortality/aging,integument phenotype
6947	FZD7	Fzd7	n				Fzd7<tm1.1Nat>,Fzd7<tm1.1Pdcq>	MGI:108570	MP:0010771 MP:0005378 MP:0005382 MP:0005380 MP:0001186 MP:0010768 MP:0005385 MP:0003631 MP:0005371 MP:0005381	pigmentation phenotype,nervous system phenotype,limbs/digits/tail phenotype,growth/size/body region phenotype,embryo phenotype,digestive/alimentary phenotype,craniofacial phenotype,cardiovascular system phenotype,mortality/aging,integument phenotype
6948	FZD8	Fzd8	n				Fzd8<tm1Dgen>,Fzd8<tm1Lex>,Fzd8<tm1Nat>	MGI:108460	MP:0010768 MP:0002873 MP:0005367	normal phenotype,renal/urinary system phenotype,mortality/aging
